instruction,(製品の)使用書、指示、教育
prey,獲物、えじき
deal,対処する、扱う、商う
racism,人種差別（主義［政策］）
subsidize,に補助金［助成金］を支給する
graze,（家畜などが）牧草を食べる
secure,安全な、確かな
disabled,身体［心身］障害の
renew,を再開する、を更新する
satellite,人工衛星、衛星
bewilder,当惑する
intact,損なわれていない、手をつけられていない
pit,穴、くぼみ
committee,委員会
duty,仕事、義務、責任
steep,（傾斜が）急な
contemporary,現代の、現代的な、同時代の
cliff,崖、絶壁
tragic,悲惨な、悲劇的な
peculiar,変な、特有の
preference,ほかより好むこと、好み
sympathize,同情する
commercial,商業（上）の、営利的な
soil,土、国、国土
overly,あまりに、過度に
accuracy,正確さ、的確さ
offensive,不快な、攻撃的な
affordable,手ごろな、安価な
dose,（薬の１回の）服用量
toxic,有毒な、中毒（性）の
conditional,～しだいの、条件付きの
experimental,実験の、実験［試験］的な
long-term,長期にわたる、長期的な
originate,由来する、生じる、始まる
deposit,内金、頭金、預金（額）
landscape,眺め、風景、景色
refugee,難民、亡命者
ease,を和らげる、を緩和する
explosion,爆発、急激な増加
meantime,その間
accent,なまり、方言
replacement,交換、交替、代わりの人[もの]
analyze,を分析する
purchase,を買う
bankrupt,（法律上）破産宣告を受けた
abandon,を捨てる、を放棄する
overestimate,を過大に評価する［見積もる］
inferior,劣悪な、劣った
abridged,簡約［短縮］された
kidney,腎臓
spoil,を台無しにする、を甘やかす
uphold,を支持する、を確認する
council,（地方自治体の）議会、評議会、会議
outsider,部外者、門外漢
bundle,束、包み
beneath,～の下に［の］
merit,価値、優秀さ、長所
browse,（商品など）を見て歩く、拾い読みする
dizzy,めまいがする、くらくらする
chill,（食べ物・飲み物など）を冷やす、冷える
unconditional,無条件の、絶対的な
leave,休暇
enroll,入学［入会、入隊］する、登録する
duration,持続［継続］期間、（時間の）継続
rotate,回転する、循環する、を回転させる
compress,を要約する、を短縮する、を圧縮して詰め込む
starve,餓死する、飢える
coverage,報道、（保険の）補償範囲、適用範囲
leak,（秘密など）を漏らす、（液体・気体など）を漏らす、漏れる
legacy,遺産
ultimate,最終の、究極の
sacrifice,犠牲
scrape,（泥・ペンキ・さびなど）をこすり取る、の表面をこする
proceed,向かう、先へ進む
needle,針、縫い針、編み針
economical,経済的な、安上がりな
scholarship,奨学金、学識
oppression,抑圧、虐待
beneficial,有益な、有利な
unauthorized,権限のない、（公的に）認可されていない
lottery,宝くじ、抽選
withdraw,を引き出す、撤退する
distress,苦悩、苦痛
fluid,液体、流動体
retreat,引っ込む、退く
pretend,のつもりになる、～するふりをする
uproar,大騒ぎ、騒動
shortage,不足、欠如
glacier,氷河
navigate,（船舶、航空機など）（を）操舵［操縦］する
tissue,(動植物の細胞の)組織、ティッシュペーパー
maximize,を最大限にする
appliance,（特に家庭用の）器具
tedious,退屈な
currency,通貨、普及
independence,独立、自立
inaccurate,不正確な、誤りのある
obey,に服従する、（命令・規則など）に従う
testimony,証言、証拠
crawl,（人、虫などが）はって進む、はう
aggressive,攻撃的な
ethical,倫理（上）の、道徳の
ration,（食料・物資などの）割当（量）
contrast,対照、対比、差異
inadequate,不十分な、不適当な
investigation,(詳しい)調査、研究
deteriorate,（状況・質などが）悪化する
bug,（小さな）虫、昆虫
deflect,（人の注意・非難など）をそらす、の方向を変えさせる
dweller,居住者
fit,健康な、元気な、ふさわしい
dull,退屈な、頭が鈍い
dispute,論争
grind,を粉にひく、を研ぐ
downturn,（景気などの）下降（状態）
impulse,衝動
deed,（意図的な）行為、行い
category,部類、区分
triumph,（大）勝利、成功
fate,運命、（最終的な）結末
commute,通学する、通勤する
suspect,…ではないかと思う、を疑わしく思う
colonize,を植民地化する、を入植させる
utilize,を（効果的に）利用する
manner,方法、風習、行儀、作法
lessen,を減らす
layer,層、重なり
dismiss,を解雇する、（意見など）を退ける
disguise,を変装させる
critic,批判する人、批評家
forge,（関係・友情など）を築く、を結ぶ、（文書・貨幣など）を偽造する
prescription,処方箋、処方
overtake,を追い越す、に追いつく、を上回る
alert,油断のない
trait,特徴、特色
alter,を変える、変わる
outdated,時代［流行］遅れの、旧式の
cell,細胞、(独)房、電池
straightforward,率直な、単純な
dejected,落胆した、元気のない
observer,監視員、観察者
disrupt,を混乱させる、を中断させる
faculty,（大学・学部の）教授陣、学部、才能、能力
characteristic,特徴
confine,を限定する、を閉じ込める
populate,に住みつく
certificate,証明書、保証書
altitude,高度、高地
waterfall,滝
voucher,クーポン券、商品券
spacious,広々とした
faith,信仰［心］、信用
usage,使用、使い方
hospitality,親切なもてなし、歓待
analogy,類似（点）
wheelchair,車椅子
master,修士
verbal,口頭での、言葉の［に関する］
awkward,ばつの悪い、気まずい、ぎこちない
trunk,（木の）幹、（象の）鼻、（自動車の）トランク
relocate,（住居、事務所、住民など）を移転［移動］させる
renovate,を改修［改築］する
imitate,をまねる、を見習う
coordinator,コーディネーター、取りまとめ役、責任者
mammal,哺乳動物
litter,（場所）を散らかす
sincerity,誠実
seize,を差し押さえる、をつかむ、を奪い取る
flexible,融通［調整］のきく、柔軟性のある
update,を最新のものにする、をアップデートする
defeat,を負かす、を打ち破る
tap,（水道などの）蛇口
constantly,絶えず、常に
bride,花嫁、新婦
theory,理論、原理、学説
guarantee,を保証する、を確約する
allied,連合の、同盟を結んだ
coral,サンゴ(製)の
soak,（雨・汗などが）ずぶ濡れにする、を（液体に）浸す
therapy,療法、治療、セラピー
ripe,（果物・穀物が）熟した、実った
pile,を大量に積む、を積み重ねる、積み重なる
inhabitant,居住者、住民
liver,肝臓、（食用の）レバー
flaw,欠点、傷、ひび
informative,有益な、情報［知識］を提供する
eliminate,を取り除く、を外す
educator,教育者、教師
assess,を査定する、を評価する
incident,(反乱・戦争などの)事件、騒動
inequality,不平等
boost,を増加させる、を高める
lengthy,長い、長時間の
respondent,（調査・アンケートなどの）回答者
yield,を産出する、（権利など）を譲る、屈する
obtain,を手に入れる、を獲得する
approve,（を）承認する、（を）認可する
repetitive,繰り返しの
genetic,遺伝子の
aging,高齢化が進む、老朽化している
unfold,（真相などが）明らかになる、を明らかにする
craft,工芸品、（手先でする）作業
junk,がらくた、つまらないもの
harass,を絶えず悩ます、を苦しめる
indifferent,無関心な
condo,分譲マンション
rigid,厳格な、曲がらない
affiliate,を提携させる、を合併する
fabricate,をでっち上げる、を組み立てる
fine,に罰金を科す
prejudice,偏見、先入観
frantic,大急ぎの、気が狂いそうな
conceal,を隠す
assault,を攻撃する、を非難する
comparable,匹敵する、同様の
man-made,（物質などが）合成の、人工の
budget,予算（案）、経費
breed,品種、種類
unexpected,思いがけない
continuously,継続して、連続して
severe,（天候・障害などが）ひどい、深刻な（人・規律などが）厳格な
upcoming,やがて起ころう［現れよう］としている、来るべき
sticky,ねばねばの、粘着性のある
exemption,（義務・責任などの）免除
outweigh,より価値がある、より重い
endangered,（動植物が）絶滅の危機にある
permission,許可、承認
fictional,架空の、フィクションの
unsafe,安全でない、危険な
unite,団結する、を一体化する
moral,道徳（上）の、倫理的な
imaginary,想像上の、架空の
discard,を捨てる、を放棄する
staple,主要な、重要な
inspection,検査、点検
drawback,欠点、不利な点
bachelor,独身の男性、学士
ownership,所有権、所有者であること
sewage,汚水、下水
rural,田舎の、田園（生活）の
dump,を投棄する、をどさっと降ろす、を見捨てる
organizer,主催者、まとめ役、幹事
distract,（注意、心など）をそらす、を散らす
comprehensive,包括的な、広範囲にわたる
formulate,（計画など）を（注意深く）まとめる、を明確に述べる
latest,最新の、最近の
radical,根本的な、急進的な
ritual,儀式
immediate,即座の、目下の
fetch,を（行って）持ってくる、を連れてくる
protein,タンパク質
migrate,移住する、（鳥などが）周期的に移動する
swift,素早い、即座の
phenomenon,現象、事象
rebound,（ボールなどが）跳ね返る
gradual,徐々の、（傾斜の）なだらかな
integrate,を統合［統一］する
destination,（旅行などの）目的地、行き先
disorder,障害、病気、混乱、無秩序
tumble,転倒、（株価などの）暴落
devote,（努力・時間など）を捧げる、に専念する
fancy,高級な、装飾的な
vital,必要不可欠な
strengthen,を（より）強くする
biologist,生物学者
enact,（法案）を制定する、を通過させる
incentive,動機、誘因
evacuate,を避難させる、から立ち退く
weary,疲れ果てた、うんざりした
contribution,貢献、寄付（金）
beforehand,前もって、あらかじめ
temporary,一時的な、臨時の
automatic,自動の
related,関連した、関係のある
transmit,を送る、を伝える
efficient,効率的な、有能な
motive,動機、誘因
monitor,を監視する
sufferer,苦しむ人、被災者、病人
sustain,を持続させる、を支える
inclination,意向、願望、好み
presence,存在、出席
conflict,衝突、論争
boundless,無限の
exaggerate,を誇張する、を強調しすぎる
poll,世論調査、投票（数）、投票所
twist,を捻挫する、をひねる
wrinkle,（顔など）にしわを寄せる、（衣服など）にしわを作る
attendance,出席［入場］者数、出席
entire,全体の、全部の
detach,を分離する、を取り外す
shriek,悲鳴を上げる、甲高い声［音］を出す
vomit,吐く、もどす
gloomy,薄暗い、陰気な
fertile,（土地などが）肥沃な
crust,地殻、パンの耳、（動物の）甲殻
plot,小区画（の土地）、陰謀、（小説などの）筋
sustainable,持続できる、維持できる
rust,さび
mature,（精神的・肉体的に）十分発達した、成熟した
scarce,十分でない、乏しい
annoy,をいらいらさせる、を悩ます
drown,溺れ死ぬ、を溺死させる
decisive,決定的な、断固たる
subtle,微妙な、かすかな
detect,を感知する、を見つける
awareness,認識、意識
routine,日課、決まり切った仕事
coworker,同僚、仕事仲間
organ,（動植物の）臓器、器官
persecution,迫害
reference,言及、参照
productivity,生産性
reschedule,の日時を変更する
shrink,縮む、減る
biographical,伝記の
considerate,思いやりのある
acid,酸っぱい、酸性の、皮肉な
puncture,（タイヤ）をパンクさせる、に穴をあける
precede,に先行する
bullet,銃弾、弾丸
discourage,に思いとどまらせる、を落胆させる
autopsy,検死
filthy,汚い、不潔な
outcome,結果
prohibit,を禁止する
district,（ある特色を持った）地域、地方
menace,困りもの、危険人物、脅威
recede,後退する、退く
procession,（儀式などの）行列、行進
revise,(法律など)を改正する、(印刷物)を改訂する、を校訂する
accordingly,それ相応に、従って、そんなわけで
regret,を後悔する、を遺憾に思う
cynical,懐疑的な、皮肉な
pale,（人・顔色などが）青白い、血の気を失った、（色が）淡い、薄い
associate,を結びつけて考える、交際する
waver,（心が）揺れ動く、迷う
degrade,の面目を失わせる、の質［価値］を低下させる
blaze,炎、強い輝き
legend,伝説、言い伝え、伝説的な人物
impassable,（道・川などが）通行できない、（困難・障害などが）克服できない
cheery,陽気な、元気な
arrogant,傲慢な、尊大な
ambitious,（計画などが）野心的な、（人が）大志を抱いた
dirt,汚れ、泥、ほこり
publication,出版（物）、発行
significant,重要な、意味のある
wage,賃金、給料
cumulative,累積する、しだいに増大する
grassland,牧草地、草原
content,コンテンツ、中身、内容、目次
deforestation,森林破壊［伐採］
wisdom,知恵、賢明さ
grip,をしっかりつかむ
daring,大胆な、勇敢な
camel,ラクダ、黄褐色
relatively,比較的（に）、相対的に
sane,（考え方などが）健全な、分別のある、正気の
complicate,を複雑にする
mislead,に誤った考えを持たせる、を欺く
strictly,厳格に、厳しく
cargo,（主に船・飛行機の）積荷、貨物
antique,骨董の、時代遅れの
outnumber,より数で勝る
fuel,燃料
authority,（関係）当局、権威、権限、権威者
socialize,（社交的に）交際する
discontent,不満
gracious,親切な、丁寧な
reunion,再会の集い、再会
draft,下書き、草稿
orbit,軌道
discomfort,不快、不便
sensation,漠然とした感じ、感覚、大騒ぎ
developer,宅地造成業者、開発者
fabric,布、織物、構造、組織
sprain,（足首・手首など）をくじく、を捻挫する
soar,（物価・価値・数値などが）急上昇する、空高く飛ぶ
reconstruct,を再建する、を改変する
antioxidant,抗酸化物質、酸化防止剤
immune,免疫の、免疫を持つ、免疫された、影響されない
intersection,（道路の）交差点
nowhere,どの場所も～ない
athletics,スポーツ、運動競技
wildlife,野生動物
novel,斬新な、目新しい
figure,人物、数字、体系、図表
dictator,独裁者、専制君主
ban,禁止（令）
diabetes,糖尿病
hollow,空洞の、中が空っぽの
series,連続、一続き
accounting,経理、会計（学）
uneven,でこぼこな、平らでない
terrific,素晴らしい、すてきな
radiation,放射線、放射
emphasize,を強調する
hydrogen,水素
aircraft,航空機、飛行機
germ,細菌、病原菌
murder,殺人
millennium,（西暦元年から数えて）1000年（間）、千年祭
inappropriate,ふさわしくない、不適当な
bond,きずな、債券、契約
fire,を解雇する、を首にする
summit,（先進国）首脳会議、サミット、（山などの）頂上
oath,誓い、誓約
quarter,4分の1、（都市の特定の）地区、四半期
inflammation,炎症、点火、引火
resign,辞職する、辞任する
poverty,貧困、欠乏
transaction,（商）取引、（業務・取引などの）処理
surplus,余剰、余分、黒字
unpredictable,変わりやすい、予測できない
capable,有能な、能力［才能］がある
nerve,度胸、神経
acceptable,受け入れられる、容認できる
frustrate,に不満を抱かせる、を挫折させる
extreme,極端な、過激な、急進的な
saving,節約、倹約、預金（額）、蓄え
region,地域、地方
modernization,近代化、現代化、最新式化
courthouse,裁判所（の建物）
arouse,（感情・行為など）を刺激する、引き起こす
survival,生き残ること、生き延びること
livelihood,生計、生活手段
minor,小さい、重要でない
liberate,を解放する
immigrant,（外国からの）移住者、移民
status,地位、身分、高い社会的地位
rotten,（食べ物などが）腐った、（道徳的に）腐敗した
reveal,…と明らかにする、(秘密など)を暴露する
fade,(記憶などが徐々に)消えていく、(色が)あせる
urgent,に熱心に勧める
caution,用心、注意、警戒、警告
compartment,(列車・客室などの)コンパートメント、(仕切った)区画[部屋]
exploration,探検、調査
prosperity,繁栄、繁盛
dock,埠頭、波止場、（艦船の）ドック
faint,（光・音・においなどが）かすかな
owe,AはBのおかげである、AはB（責任など）を負っている、AにB（金など）を借りている
intelligent,知能の高い、利口な
crave,（を）切望する
raid,（警察が）に手入れを行う、（軍隊が）を襲撃する
stable,安定した
bystander,傍観者
equip,に装備する
cooperate,協力する
gaze,じっと見る
surrender,降伏する、を放棄する
ongoing,継続している、進行中の
cuisine,（国・地方の特徴を出した）料理、料理法
adequate,（ちょうど）十分な、ふさわしい
cowardly,卑怯な、臆病な
profession,（主に知的な）職業
stock,在庫品、蓄え、株式
conduct,を実施する、を遂行する
accommodate,を収容できる、を宿泊させる
inconvenient,不便な、不都合な
proclaim,を宣言する
paperwork,（必要）書類、書類事務
convert,（建物）を改造する、（形、用途など）を変える
hybrid,(動植物の)雑種、混成物、ハイブリッド車
propel,を進ませる、（人）を駆り立てる
correspondence,通信、一致
servant,（特に住み込みの）使用人、召使
hazard,危険（なもの）
fragrance,芳香
military,軍隊の、軍人の
inmate,（刑務所などの）収容者、入院患者
deserve,に値する
invaluable,極めて貴重［高価］な
novel,筋の通った、分別のある、(値段などが)手ごろな
provoke,を怒らせる、を引き起こす
jar,（広口の）びん、つぼ
enlist,入隊する、参加する、（支持・協力）を得る
mere,ほんの、単なる
journal,（専門）雑誌、日刊［週刊］新聞
colleague,（職場の）同僚
publicity,一般に知れ渡ること、評判、宣伝
civil,（軍人・官吏に対して）民間の、一般市民の
organism,有機物、生物
prevail,流布している、打ち勝つ
contradict,と矛盾する、に反駁する
essential,必要不可欠な、非常に重要
dairy,ミルクから作られる、酪農の
stale,（パンなどが）堅くなった、鮮度の落ちた、陳腐な
restrain,を制止する、を抑制する
forthcoming,来るべき
expand,を拡大[拡張]する
remodel,を改装する、を改造する
account,（銀行）口座、勘定、説明
unrest,（社会的な）混乱、不安、（心の）動揺
port,港
respiratory,呼吸器に関する、呼吸の
apprehension,不安、懸念
pioneer,先駆者、草分け、（未開拓地の）開拓者
acknowledge,…と認める
immeasurable,計り知れない、果てしない、広大な
vessel,（比較的大型の）船、容器
ample,十分な、豊富な、広大な
foe,敵
witty,機知に富んだ
vice,悪習、悪
superstitious,迷信深い、迷信の
intellectual,知的な、知性の
pathway,小道、細道
brochure,パンフレット、小冊子
finite,有限の、限られた
pollute,を汚染する
practical,実践的な、実際的な
finance,金融、財政（学）
impractical,実用的でない、非現実的な
summon,を呼び出す、を召喚する、（議会など）を招集する
folk,民間（起源）の、民衆の
species,種、種類
supreme,最高の、至高の
clutch,をぐっとつかむ
nonetheless,それにもかかわらず
worthwhile,（時間・労力・金をかける）価値のある
division,不和、分割、部門、仕切り
incorporate,を取り［組み］入れる
likewise,同じように
perpetual,絶え間ない、永遠の
discrimination,差別
intrigue,の興味をそそる
classify,を分類する、を等級分けする
excessive,過度の、法外な
beverage,（水以外の）飲み物
embrace,を抱擁する、を（喜んで）受け入れる
horrify,を怖がらせる、に衝撃を与える
lodge,（苦情・抗議など）を申し出る、を預ける、を泊める
export,を輸出する
electrical,電気の、電気を吸う
mingle,付き合う、仲間に入る、混ざる
trace,跡、形跡
durable,長持ちする、丈夫な
savage,残酷な、凶暴な
formation,形成、構成（物）
emission,排気、放出（物）
transform,を大きく変える
dispatch,を急送［急派］する
admirable,賞賛に値する、素晴らしい
sweep,（ある地域）に広がる、（床・部屋など）を掃く
burst,破裂する、爆発する
dependency,依存、従属
address,（問題など）を扱う、に話しかける
identify,を（同一であると）確認する
reproduce,を複製する、を繁殖させる、を再現する
sour,酸っぱい
disadvantaged,（経済的・社会的に）恵まれない
creature,生き物、（特に人間以外の）動物
controversy,（長期の）論争、論戦
redeem,（失敗・欠点など）を補う、を埋め合わせる
establishment,設立、制定、組織
deadly,致命的な、命に関わる
epidemic,（病気などが）流行［伝染］性の、流行の
proportional,釣り合った、比例した
simmer,（煮立たない程度に）ことこと煮える
vigorous,（運動などが）激しい、（行為・手段などが）精力的な、（人が）活力のある
dozen,12（個）、1ダース
stubborn,頑固な
frankly,率直に、正直に
serene,穏やかな、平静な
momentum,勢い、はずみ
extravagant,浪費する、（要求などが）過度な
grief,（死などに対する）深い悲しみ、悲痛
hasty,急ぎの、早まった
soul,魂、精神
burglar,強盗、泥棒
priority,優先（権）
anthropologist,人類学者
occasionally,ときどき
assignment,任務、宿題、割り当て
recall,を思い出す、（商品など）を回収する
smash,（粉々に）壊れる、を粉々に打ち壊す
addiction,依存
patch,小区画の土地、継ぎ
hover,（鳥・昆虫・ヘリコプターなどが）空中（の一点）に止まる
approximately,おおよそ、ほぼ
overall,全体[全般]的な、総合的な
invalid,（法的に）無効な
roughly,おおよそ、乱暴に
incidence,発生（率）
plural,複数の、2つ［2人］以上の、複数形の
confident,確信して、自信に満ちた
rivalry,ライバル意識、競争
refine,に磨きをかける、を洗練する、を精製する
whereas,～であるのに、～に反して
fierce,どう猛な、激しい
notify,に知らせる
fountain,噴水、源泉、湧き水
potential,潜在的な、可能性を秘めた
sinister,邪悪な、不吉な
rash,早まった、軽率な
objective,目的、目標
illustrate,を説明する、を例示する
innovation,（技術）革新、新機軸
minister,大臣
decade,10年間
collapse,（建物などが）崩れ落ちる、（人が）倒れる
implement,を実行する
scale,規模、程度
external,外部の、外（側）の
plague,（人）を絶えず悩ます、（病気・災難などが）を苦しめる
sanction,制裁（措置）、認可
closure,(工場・学校などの)閉鎖
retain,を保持する
genome,ゲノム
mellow,（性格が）円熟した、やわらかで豊かな［美しい］
outcast,見捨てられた人、浮浪者
peasant,（発展途上国などの）小作人、貧農
appetite,食欲、欲求
substantial,(数量などが)かなりの、重要な、実質的な
concrete,具体的な、明確な、コンクリート製の
discipline,を罰する、を訓練する
welfare,福祉、生活保護
sibling,兄弟姉妹（の1人）
trial,裁判、試験、試み
enthusiasm,熱狂、熱中
wilderness,荒れ地、荒野
barren,不毛の、作物ができない
compliment,賛辞
consent,同意
offset,を相殺する、を埋め合わせる
exclusive,高級な、排他的な
intermediate,（程度が）中級の
microbe,微生物、細菌
prospect,見込み、見通し、期待
kidnap,を誘拐する
arrangement,準備、配置、取り決め
hectic,やたらと忙しい
voyage,（ゆったりした長い）旅、船旅
vicious,悪意［敵意］のある、乱暴な
dread,不安、恐れ
existence,存在、生存
molecule,分子、微粒子
cheat,（試験で）カンニングをする、をだます
divorce,離婚、（完全な）分離
qualified,有能な、適任の、資格のある
dimension,局面、寸法、規模、次元
retrieve,を取り戻す、を回復する
relevant,関連[関係]がある
dedicate,を捧げる
crew,（船の）乗組員、（飛行機・列車などの）乗務員
eventually,ついに（は）、結局（は）
blame,のせいにする、を非難する、の責任を負わせる
tailor,を合わせて作る
deflate,（タイヤ・風船などが）しぼむ、をしぼませる
gratify,を喜ばせる、を満足させる
proponent,支持者
simultaneous,同時に起こる
venture,冒険的事業、ベンチャー事業
drain,排水管[路]、排水口
disclose,を明らかにする、を暴露する
sway,（ゆっくりと）揺れる、動揺する
unaware,気づかないで、知らないで
exposure,身をさらすこと、暴露
anarchy,無秩序、無政府状態
interval,（時間の）間隔、合間
slope,坂、斜面
descendant,子孫
pursue,を追跡する、を追求する
alien,異質の、外国の
stream,小川
auditorium,(学校の)講堂、公会堂
repay,を返済する
threat,脅威、脅し
unfairly,不当に、不公平に
regulation,規則、規制
harsh,厳しい、粗い
spot,（特定の）場所、斑点、しみ
well-being,健康、幸福
overlook,を大目に見る、を無視する、を見落とす
